levels,g,eta_abs,eta_phase,source_pair_phase,phase_difference,source_pair_norm,relative_source_profile_error
8,0.7,0.05,0.0,0.0,0.0,0.8872536732324812,0.33601809626117257
8,0.7,0.05,0.39269908169872414,0.39269908169872414,0.0,0.8872536732324834,0.33601809626117085
8,0.7,0.05,0.7853981633974483,0.7853981633974482,-1.1102230246251565e-16,0.8872536732324833,0.3360180962611709
8,0.7,0.05,1.1780972450961724,1.1780972450961722,-2.220446049250313e-16,0.8872536732324842,0.3360180962611704
8,0.7,0.05,1.5707963267948966,1.5707963267948963,-2.220446049250313e-16,0.8872536732324843,0.33601809626117024
8,0.7,0.05,1.9634954084936207,1.9634954084936207,0.0,0.8872536732324817,0.3360180962611722
8,0.7,0.05,2.356194490192345,2.356194490192345,0.0,0.8872536732324838,0.33601809626117063
8,0.7,0.05,2.748893571891069,2.748893571891069,0.0,0.8872536732324818,0.336018096261172
8,0.7,0.05,3.141592653589793,3.141592653589793,0.0,0.8872536732324812,0.33601809626117257
8,0.7,0.05,3.5342917352885173,-2.7488935718910694,2.4492935982947064e-16,0.8872536732324809,0.3360180962611727
8,0.7,0.05,3.9269908169872414,-2.356194490192345,2.4492935982947064e-16,0.8872536732324827,0.33601809626117146
8,0.7,0.05,4.319689898685965,-1.9634954084936216,2.4492935982947064e-16,0.8872536732324832,0.3360180962611712
8,0.7,0.05,4.71238898038469,-1.5707963267948968,2.4492935982947064e-16,0.887253673232487,0.3360180962611683
8,0.7,0.05,5.105088062083414,-1.178097245096172,2.4492935982947064e-16,0.8872536732324873,0.3360180962611681
8,0.7,0.05,5.497787143782138,-0.7853981633974484,2.4492935982947064e-16,0.8872536732324813,0.3360180962611725
8,0.7,0.05,5.890486225480862,-0.39269908169872475,2.4492935982947064e-16,0.8872536732324842,0.33601809626117035
