levels,qubits,g,exact_energy,bcs_energy,energy_error,gap,leading_pair_density_eigenvalue,relative_pair_density_residual
3,6,0.1,-3.2051065761134567,-3.0267851046336545,0.17832147147980226,0.05356899084772482,1.0011623286327676,0.7070492413814801
3,6,0.2,-3.420810585192274,-3.0576792284346466,0.36313135675762753,0.1153323988921168,1.0048122043005188,0.7066081260250012
3,6,0.3,-3.6475759220623227,-3.093659503020666,0.5539164190416566,0.18714008997764658,1.0110785706494894,0.7053146906800559
3,6,0.4,-3.8856898434649945,-3.1359650770769307,0.7497247663880637,0.27115467214529965,1.0199122906487401,0.7026750646676224
3,6,0.5,-4.135241406402195,-3.1861192810631818,0.9491221253390134,0.36963194222869966,1.03108192843286,0.6982840665850398
3,6,0.6,-4.396117021041669,-3.24587804127275,1.1502389797689192,0.4843756631724027,1.0442022699433513,0.6919396656427332
3,6,0.7,-4.668013684440866,-3.317039501605511,1.3509741828353548,0.6158680829402143,1.0587877782465478,0.6836756587235745
3,6,0.7999999999999999,-4.950466987942276,-3.401098781393425,1.5493682065488512,0.7625278114708849,1.074316018369021,0.6736780624139783
3,6,0.8999999999999999,-5.242888556603978,-3.4988741978239917,1.7440143587799861,0.920868269732823,1.090285587731783,0.6621852271925679
3,6,0.9999999999999999,-5.544606815316149,-3.610329986847174,1.9342768284689749,1.0866759071708845,1.106258151551912,0.6494728511729777
3,6,1.0999999999999999,-5.854905765099897,-3.7346943240018877,2.120211441098009,1.2562864998928152,1.1218811822339794,0.6358717957315798
3,6,1.2,-6.17305815730544,-3.8707494613731646,2.3023086959322754,1.4271558982118757,1.1368936232699483,0.6217438731671694
3,6,1.3,-6.49835133722562,-4.0171144017262215,2.481236935499399,1.5977829579956158,1.151119527140004,0.6074319288283752
3,6,1.4,-6.830105572701014,-4.17243341689862,2.657672155802394,1.7673962752458547,1.1644550647349339,0.5932235379941962
4,8,0.1,-4.212338132985105,-4.0,0.21233813298510462,1.223084666294548e-12,1.0037135951423335,1.0
4,8,0.2,-4.451998729011457,-4.0,0.4519987290114571,2.712408730019881e-12,1.0161773644346357,1.0
4,8,0.3,-4.722551071103626,-4.0,0.7225510711036263,8.73392996665789e-12,1.0384702442502454,1.0
4,8,0.4,-5.026447734966733,-4.003629769184077,1.0228179657826555,0.21303178111532994,1.0698441800629817,0.8266476981882465
4,8,0.5,-5.364451526424408,-4.077218587575183,1.2872329388492245,0.5306818649485945,1.1076829155992471,0.7803805488079892
4,8,0.6,-5.73549597682232,-4.220370003646071,1.5151259731762492,0.7836354761794306,1.1484173709636092,0.7304416109715677
4,8,0.7,-6.137034636681297,-4.4135325385700686,1.7235020981112283,1.0234995508486207,1.1887407872832516,0.6802653952717661
4,8,0.7999999999999999,-6.565659705482482,-4.644627082374948,1.9210326231075348,1.2572728025461686,1.226358059960685,0.632393763188244
4,8,0.8999999999999999,-7.017702562471395,-4.905064290271374,2.1126382722000203,1.4865688101619163,1.2600878508706166,0.5882732615323547
4,8,0.9999999999999999,-7.489652155363845,-5.188433653393025,2.30121850197082,1.7120529913787692,1.2895920965687964,0.5484978549434784
4,8,1.0999999999999999,-7.978373033564433,-5.489892250932749,2.488480782631685,1.9342395580256042,1.3150356899861364,0.513116537893637
4,8,1.2,-8.481177483829416,-5.805764258479614,2.6754132253498026,2.1536009070313016,1.3368228932798,0.481876634629455
4,8,1.3,-8.995814724771293,-6.133243713843676,2.862571010927617,2.37056235695574,1.3554347405720237,0.45438648947006427
4,8,1.4,-9.520422731241444,-6.4701717051511505,3.0502510260902937,2.585492677052506,1.3713436147732878,0.43021289250250655
5,10,0.1,-4.821428514375006,-4.531239872811084,0.29018864156392166,0.0624595813412904,1.010051120639477,0.8158600414595272
5,10,0.2,-5.194064333767931,-4.582841719351292,0.611222614416639,0.1647429159292043,1.0464242576316913,0.8093904486780019
5,10,0.3,-5.62954657230163,-4.677704865888754,0.9518417064128757,0.3403592086720535,1.112698495111967,0.7875270921295912
5,10,0.4,-6.134479770679243,-4.852047675803943,1.2824320948752996,0.597055101036613,1.2001862407560178,0.7473035319648734
5,10,0.5,-6.707443346264364,-5.121889913134032,1.5855534331303325,0.8858601861177093,1.292752840752361,0.6959651173631242
5,10,0.6,-7.340444816469672,-5.472719887412506,1.8677249290571662,1.17610291273289,1.3775699716579852,0.6434281702099495
5,10,0.7,-8.022859706532435,-5.8840557808493665,2.138803925683068,1.4612055188247353,1.4492338826607962,0.595809207259644
5,10,0.7999999999999999,-8.744496678577427,-6.339617923300029,2.404878755277398,1.7407476224686094,1.50748374404178,0.555125709352385
5,10,0.8999999999999999,-9.496866075038945,-6.827775998100062,2.6690900769388826,2.01548446917833,1.554161253323175,0.5212475917061619
5,10,0.9999999999999999,-10.273324691407163,-7.340360010267773,2.9329646811393904,2.286292356355185,1.5915146067022778,0.4932719103878309
5,10,1.0999999999999999,-11.068798914152977,-7.871587053004918,3.197211861148059,2.5539344706995255,1.6215555193482252,0.4701645931533616
5,10,1.2,-11.879434527784147,-8.417300212360335,3.4621343154238122,2.8190261128842447,1.6459065512461142,0.4509944066481955
5,10,1.3,-12.702292162896706,-8.974458081333822,3.727834081562884,3.0820510500624545,1.6658240632169563,0.43499081685291896
5,10,1.4,-13.535111507234806,-9.54079561609521,3.994315891139596,3.3433874664193857,1.6822666473621428,0.42153761269904594
