levels,qubits,g,eta,exact_energy,bcs_gap,source_pair_norm,bcs_pair_norm,relative_source_profile_error,jw_mapping_matrix_error
3,6,0.7,0.0001,-4.668013723379988,0.6158680829402143,0.00024352770644137022,0.5675635696893486,0.9995732693582078,2.5601415559961995e-15
3,6,0.7,0.00019956925494548055,-4.668013839527146,0.6158680829402143,0.0004860063113068525,0.5675635696893486,0.9991483790425898,2.5601415559961995e-15
3,6,0.7,0.00039827887519494257,-4.668014302116485,0.6158680829402143,0.0009699182363601674,0.5675635696893486,0.9983004360231408,2.5601415559961995e-15
3,6,0.7,0.000794842183831788,-4.668016144507936,0.6158680829402143,0.00193565114150661,0.5675635696893486,0.9966082378412807,2.5601415559961995e-15
3,6,0.7,0.0015862606242654862,-4.668023482297808,0.6158680829402143,0.0038629052969057567,0.5675635696893486,0.9932313178943211,2.5601415559961995e-15
3,6,0.7,0.0031656885093401597,-4.668052706116714,0.6158680829402143,0.007708700320607277,0.5675635696893486,0.9864931391234961,2.5601415559961995e-15
3,6,0.7,0.006317740971984853,-4.668169081795036,0.6158680829402143,0.015380453987074801,0.5675635696893486,0.9730531787987717,2.5601415559961995e-15
3,6,0.7,0.012608268587175545,-4.668632318285233,0.6158680829402143,0.030664975815166754,0.5675635696893486,0.9462837406121041,2.5601415559961995e-15
3,6,0.7,0.025162227680951305,-4.670473138512407,0.6158680829402143,0.06096381909436185,0.5675635696893486,0.8932517244539282,2.5601415559961995e-15
3,6,0.7,0.05021607031055999,-4.677740275564809,0.6158680829402143,0.11986204147975349,0.5675635696893486,0.7903430291972543,2.5601415559961995e-15
3,6,0.7,0.10021583738168334,-4.705741644379204,0.6158680829402143,0.226457030610043,0.5675635696893486,0.6052956549309292,2.5601415559961995e-15
3,6,0.7,0.2,-4.805891966376654,0.6158680829402143,0.38244405939429926,0.5675635696893486,0.34527743439829445,2.5601415559961995e-15
4,8,0.7,0.0001,-6.137034736183585,1.0234995508486207,0.0005231169700351897,0.7500016379897252,0.999315876372514,6.1854469444995704e-15
4,8,0.7,0.00019956925494548055,-6.137035032977696,1.0234995508486207,0.00104397966800112,0.7500016379897252,0.9986347191957691,6.1854469444995704e-15
4,8,0.7,0.00039827887519494257,-6.137036215043286,1.0234995508486207,0.0020834547226530314,0.7500016379897252,0.9972754025354016,6.1854469444995704e-15
4,8,0.7,0.000794842183831788,-6.137040922918491,1.0234995508486207,0.00415787368685645,0.7500016379897252,0.9945629134038988,6.1854469444995704e-15
4,8,0.7,0.0015862606242654862,-6.13705967271966,1.0234995508486207,0.008297349721951121,0.7500016379897252,0.9891510523192812,6.1854469444995704e-15
4,8,0.7,0.0031656885093401597,-6.137134338572508,1.0234995508486207,0.016555083540749516,0.7500016379897252,0.9783585899817138,6.1854469444995704e-15
4,8,0.7,0.006317740971984853,-6.137431548272872,1.0234995508486207,0.03300811267727262,0.7500016379897252,0.9568695308117826,6.1854469444995704e-15
4,8,0.7,0.012608268587175545,-6.138612611326877,1.0234995508486207,0.06563155097576927,0.7500016379897252,0.9143190926774265,6.1854469444995704e-15
4,8,0.7,0.025162227680951305,-6.143275216455568,1.0234995508486207,0.12911022005969608,0.7500016379897252,0.831768232754185,6.1854469444995704e-15
4,8,0.7,0.05021607031055999,-6.1612402221046425,1.0234995508486207,0.24438564740208846,0.7500016379897252,0.682850978927212,6.1854469444995704e-15
4,8,0.7,0.10021583738168334,-6.225442975658412,1.0234995508486207,0.41453587031236433,0.7500016379897252,0.46637616302141044,6.1854469444995704e-15
4,8,0.7,0.2,-6.422450004708777,1.0234995508486207,0.5859434875793554,0.7500016379897252,0.25569110080568913,6.1854469444995704e-15
5,10,0.7,0.0001,-8.022859846275471,1.4612055188247353,0.0006363863315999252,0.9429698627286741,0.9993279502433012,1.4175900416877607e-14
5,10,0.7,0.00019956925494548055,-8.022860263099185,1.4612055188247353,0.0012700303602828215,0.9429698627286741,0.9986588002528629,1.4175900416877607e-14
5,10,0.7,0.00039827887519494257,-8.022861923216444,1.4612055188247353,0.0025345813822804006,0.9429698627286741,0.9973234019826931,1.4175900416877607e-14
5,10,0.7,0.000794842183831788,-8.02286853505635,1.4612055188247353,0.0050581756710858326,0.9429698627286741,0.9946584669591795,1.4175900416877607e-14
5,10,0.7,0.0015862606242654862,-8.022894867722671,1.4612055188247353,0.010094011071441429,0.9429698627286741,0.9893407671413545,1.4175900416877607e-14
5,10,0.7,0.0031656885093401597,-8.022999730973199,1.4612055188247353,0.020140153704477942,0.9429698627286741,0.9787330557954792,1.4175900416877607e-14
5,10,0.7,0.006317740971984853,-8.023417154229595,1.4612055188247353,0.040158730956071864,0.9429698627286741,0.9575984494768914,1.4175900416877607e-14
5,10,0.7,0.012608268587175545,-8.025076112608614,1.4612055188247353,0.0798696255582255,0.9429698627286741,0.9156861698424889,1.4175900416877607e-14
5,10,0.7,0.025162227680951305,-8.031628156451582,1.4612055188247353,0.15726997131136772,0.9429698627286741,0.8340490665307655,1.4175900416877607e-14
5,10,0.7,0.05021607031055999,-8.056909426535785,1.4612055188247353,0.2986330596801947,0.9429698627286741,0.6851875587805341,1.4175900416877607e-14
5,10,0.7,0.10021583738168334,-8.147529772919865,1.4612055188247353,0.5098618223436278,0.9429698627286741,0.46374901591899353,1.4175900416877607e-14
5,10,0.7,0.2,-8.425227351018439,1.4612055188247353,0.720973561888651,0.9429698627286741,0.24570405130726108,1.4175900416877607e-14
